sep=,
DeviceTag:,Thigh
FirmwareVersion:,1.6.0
AppVersion:,2020.4.1
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2021-04-15_09:59:44_804 CDT
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
200,1588884034,8.264955,-64.763336,-51.578480
201,1588900701,8.293669,-64.786156,-51.630436
202,1588917368,8.345283,-64.812119,-51.638882
203,1588934035,8.411564,-64.833351,-51.616722
204,1588950702,8.470304,-64.853058,-51.577396
205,1588967369,8.485536,-64.888687,-51.526333
206,1588984036,8.506795,-64.946083,-51.482014
207,1589000703,8.546906,-65.010757,-51.449924
208,1589017370,8.578193,-65.077309,-51.426369
209,1589034037,8.596611,-65.147011,-51.407001
210,1589050704,8.595549,-65.215584,-51.371449
211,1589067371,8.567102,-65.282936,-51.323818
212,1589084038,8.516815,-65.351662,-51.289875
213,1589100705,8.486789,-65.420853,-51.268181
214,1589117372,8.462964,-65.486649,-51.258129
215,1589134039,8.431693,-65.548462,-51.260395
216,1589150706,8.407659,-65.608627,-51.266636
217,1589167373,8.403069,-65.665550,-51.291183
218,1589184040,8.390273,-65.722946,-51.337746
219,1589200707,8.369940,-65.778175,-51.393047
220,1589217374,8.309901,-65.831070,-51.414494
221,1589234041,8.220813,-65.872101,-51.388184
222,1589250708,8.152198,-65.892929,-51.331768
223,1589267375,8.047710,-65.904335,-51.242798
224,1589284042,7.923519,-65.910851,-51.150936
225,1589300709,7.834878,-65.915764,-51.081100
226,1589317376,7.774593,-65.917976,-51.038040
227,1589334043,7.661651,-65.909317,-50.991722
228,1589350710,7.563546,-65.896782,-50.939850
229,1589367377,7.505825,-65.877281,-50.890476
230,1589384044,7.457755,-65.857147,-50.853699
231,1589400711,7.416961,-65.837326,-50.831871
232,1589417378,7.404111,-65.815826,-50.828049
233,1589434045,7.418222,-65.793556,-50.847359
234,1589450712,7.431101,-65.774094,-50.881283
235,1589467379,7.451331,-65.754280,-50.924145
236,1589484046,7.487092,-65.733589,-50.970581
237,1589500713,7.536253,-65.714851,-51.023067
238,1589517380,7.588081,-65.699112,-51.082886
